Region,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C15-Major Industry Group,C16-Nature of Employment (Primary Occupation)
1,1,5518,84,1
1,1,5538,47,1
2,1,5706,1,1
3,1,4929,68,1
4,1,311,1,1
4,1,7401,82,1
4,1,5811,49,1
5,1,1734,1,1
5,1,1734,1,1
5,1,1405,80,1
6,1,402,96,1
6,1,402,3,1
7,1,2230,49,1
7,1,2217,86,1
7,1,2226,49,1
7,1,2226,96,1
7,1,2226,96,1
7,1,2226,56,1
7,1,2226,47,1
7,1,2226,14,1
8,1,7801,47,1
8,1,7801,14,1
10,1,1804,1,1
10,1,1804,49,1
10,1,1804,1,1
10,1,1804,1,1
10,1,1803,50,1
10,1,4208,1,1
10,1,4211,84,1
10,1,4208,1,1
10,1,4208,1,1
10,1,4208,1,1
10,1,4211,1,1
10,1,4211,1,1
10,1,4211,1,1
10,1,4211,1,1
11,1,4701,1,1
11,1,2402,47,1
11,1,2402,3,1
12,1,4703,46,1
12,1,4703,1,1
12,1,4703,1,1
12,1,4703,1,1
12,1,6506,1,1
12,1,6506,94,1
12,1,6506,96,1
12,1,6506,1,1
12,1,6506,49,1
12,1,3909,47,1
12,1,6506,47,1
12,1,6506,1,1
12,1,8007,1,1
12,1,8007,1,1
13,1,7501,49,1
13,1,7401,84,1
13,1,7404,61,1
13,1,7503,3,1
13,1,7604,47,1
13,1,7504,18,1
16,1,6710,47,1
16,1,202,47,1
17,1,5311,1,1
17,1,5311,1,1
17,1,5311,28,1
19,1,4712,1,1
19,1,4712,1,1
19,1,4712,1,1
19,1,4712,1,1
19,1,4712,1,1
1,1,5508,46,1
1,1,5510,49,1
1,1,5513,47,1
1,1,5513,47,1
1,1,5531,1,1
1,1,5531,1,1
1,1,5533,1,1
1,1,5535,14,1
1,1,5546,96,1
2,1,1516,1,1
3,1,5404,15,1
4,1,3425,31,1
4,1,3906,96,1
4,1,5802,56,1
4,1,5624,95,1
5,1,7404,50,1
5,1,5802,86,1
5,1,3403,84,1
5,1,1728,96,1
5,1,2004,1,1
5,1,2004,1,1
5,1,4103,1,1
5,1,7605,81,1
5,1,7607,96,1
5,1,4103,1,1
5,1,4103,1,1
5,1,4103,30,1
5,1,4118,1,1
5,1,4119,1,1
5,1,6203,49,1
5,1,6211,1,1
6,1,601,3,1
7,1,3022,50,1
7,1,2230,47,1
7,1,2230,68,1
8,1,3739,84,1
8,1,4805,96,1
10,1,1801,1,1
10,1,1801,1,1
10,1,1804,1,1
10,1,4207,1,1
10,1,4207,1,1
10,1,4207,1,1
10,1,4207,3,1
10,1,4211,1,1
10,1,4211,1,1
10,1,4211,1,1
10,1,4211,1,1
12,1,6505,3,1
12,1,6505,61,1
12,1,6505,84,1
12,1,8007,1,1
12,1,6303,84,1
12,1,6303,50,1
12,1,6303,68,1
12,1,6303,3,1
13,1,7501,47,1
13,1,2115,84,1
13,1,3906,64,1
16,1,201,56,1
16,1,202,78,1
16,1,211,36,1
16,1,6809,96,1
16,1,6818,1,1
16,1,6819,1,1
16,1,202,68,1
16,1,202,84,1
17,1,5316,3,1
19,1,9804,47,1
19,1,9804,47,1
19,1,9804,47,1
19,1,9804,47,1
19,1,9804,47,1
19,1,3805,47,1
19,1,3805,47,1
19,1,3805,47,1
19,1,3819,47,1
1,1,2923,49,1
1,1,2934,25,1
1,1,5535,35,1
3,1,805,10,1
4,1,2118,84,1
4,1,2108,26,1
4,1,5608,85,1
4,1,5624,84,1
5,1,6207,1,1
5,1,6207,3,1
5,1,6207,3,1
6,1,412,93,1
6,1,1914,14,1
7,1,1212,1,1
7,1,1212,47,1
7,1,1212,1,1
7,1,1234,1,1
7,1,1234,47,1
7,1,1234,1,1
7,1,1236,1,1
7,1,1242,47,1
7,1,1242,41,1
7,1,1243,3,1
7,1,1243,3,1
7,1,1243,3,1
7,1,1243,3,1
7,1,1243,3,1
7,1,1243,96,1
7,1,1243,3,1
7,1,4611,96,1
7,1,2226,41,1
7,1,2226,41,1
9,1,8308,1,1
9,1,8316,84,1
11,1,8603,1,1
11,1,8603,1,1
11,1,8603,1,1
11,1,8603,85,1
11,1,2403,85,1
11,1,2402,52,1
12,1,6315,47,1
12,1,6505,41,1
12,1,6505,1,1
12,1,6505,1,1
12,1,6505,3,1
12,1,6505,3,1
12,1,6505,3,1
12,1,6505,47,1
12,1,8002,3,1
12,1,8002,3,1
12,1,8002,3,1
12,1,8002,3,1
13,1,7501,49,1
13,1,7501,96,1
13,1,7501,96,1
13,1,7404,41,1
14,1,1110,85,1
14,1,1113,1,1
14,1,1102,96,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,85,1
14,1,1102,85,1
16,1,209,10,1
16,1,302,85,1
16,1,6803,96,1
16,1,6803,47,1
16,1,6810,1,1
16,1,6810,1,1
16,1,6810,96,1
16,1,202,80,1
16,1,202,25,1
16,1,202,41,1
17,1,5316,85,1
19,1,4712,1,1
19,1,4712,1,1
19,1,4712,1,1
1,1,5506,46,1
1,1,5517,85,1
1,1,5517,41,1
1,1,5546,47,1
3,1,807,13,1
4,1,3401,47,1
4,1,3425,49,1
4,1,5623,84,1
4,1,5624,86,1
5,1,1603,77,1
5,1,2108,20,1
5,1,1603,56,1
5,1,1607,1,1
5,1,1607,1,1
5,1,1703,46,1
5,1,1724,82,1
5,1,1717,84,1
5,1,1717,84,1
5,1,1717,1,1
5,1,1718,96,1
5,1,1724,49,1
5,1,2004,1,1
5,1,2004,32,1
5,1,2004,1,1
5,1,2004,1,1
5,1,2004,3,1
5,1,2009,84,1
5,1,2009,79,1
5,1,2009,1,1
5,1,2011,1,1
5,1,2011,3,1
6,1,4501,82,1
7,1,2209,3,1
7,1,2234,41,1
7,1,2217,47,1
7,1,2217,56,1
7,1,2217,82,1
7,1,2226,41,1
7,1,2226,43,1
7,1,2226,47,1
7,1,2219,47,1
7,1,2217,80,1
8,1,2604,56,1
8,1,2604,84,1
8,1,2604,1,1
8,1,7602,80,1
8,1,7808,85,1
10,1,4207,47,1
10,1,4207,47,1
10,1,4209,1,1
10,1,4209,47,1
10,1,4209,47,1
10,1,4305,68,1
12,1,6505,95,1
12,1,6505,3,1
12,1,6505,47,1
12,1,6506,1,1
12,1,6506,1,1
12,1,8002,3,1
12,1,8002,3,1
12,1,8002,41,1
12,1,6303,1,1
12,1,6303,49,1
12,1,6303,47,1
12,1,6303,47,1
13,1,7602,41,1
13,1,7503,3,1
13,1,7503,85,1
13,1,7503,41,1
13,1,7503,47,1
13,1,7503,47,1
13,1,7503,47,1
13,1,7503,3,1
13,1,7503,3,1
13,1,7503,3,1
13,1,7503,90,1
14,1,1110,85,1
14,1,8103,1,1
16,1,209,1,1
16,1,201,1,1
16,1,201,1,1
16,1,201,1,1
16,1,201,1,1
16,1,209,1,1
16,1,209,1,1
16,1,209,1,1
16,1,209,1,1
16,1,209,1,1
16,1,209,1,1
16,1,209,1,1
16,1,201,93,1
16,1,201,93,1
16,1,201,93,1
16,1,206,14,1
16,1,301,1,1
16,1,6714,1,1
16,1,6714,41,1
16,1,6714,3,1
16,1,6714,3,1
16,1,6714,8,1
16,1,6714,23,1
16,1,6717,1,1
16,1,6717,1,1
16,1,6706,7,1
16,1,6717,1,1
16,1,6717,1,1
16,1,6718,3,1
16,1,8501,47,1
16,1,6724,50,1
16,1,202,86,1
16,1,202,1,1
16,1,202,47,1
16,1,202,41,1
16,1,202,10,1
17,1,7404,96,1
17,1,4003,3,1
17,1,7402,14,1
17,1,4005,47,1
17,1,4005,47,1
17,1,4006,84,1
1,1,5522,69,1
2,1,1504,85,1
2,1,1504,85,1
3,1,806,3,1
3,1,807,13,1
3,1,7107,41,1
4,1,5623,47,1
4,1,5808,49,1
5,1,3405,22,1
5,1,515,1,1
5,1,2004,41,1
5,1,2008,41,1
5,1,2011,84,1
5,1,1014,41,1
5,1,6207,1,1
5,1,6207,1,1
5,1,6216,96,1
5,1,6216,47,1
6,1,7404,74,1
7,1,1236,1,1
7,1,2217,96,1
7,1,2217,10,1
7,1,2226,47,1
7,1,2226,26,1
7,1,2226,50,1
7,1,2230,16,1
7,1,2230,56,1
7,1,2230,53,1
8,1,7804,47,1
8,1,7804,47,1
8,1,7808,47,1
8,1,3747,56,1
8,1,3747,85,1
8,1,3747,85,1
9,1,8305,84,1
10,1,1802,47,1
10,1,3504,86,1
10,1,3507,85,1
10,1,4204,1,1
10,1,4204,1,1
10,1,4204,2,1
10,1,4204,41,1
10,1,4204,10,1
10,1,4212,1,1
10,1,4212,1,1
10,1,4212,1,1
10,1,4212,1,1
10,1,4212,47,1
10,1,4212,47,1
10,1,4212,3,1
10,1,4212,3,1
10,1,4212,3,1
10,1,4212,3,1
10,1,4212,3,1
10,1,4212,3,1
10,1,4212,1,1
10,1,4212,3,1
10,1,4305,84,1
10,1,4305,47,1
10,1,3504,47,1
11,1,2410,84,1
11,1,8602,3,1
11,1,8602,3,1
11,1,8602,3,1
11,1,8602,1,1
11,1,8602,1,1
11,1,2402,56,1
12,1,4708,1,1
12,1,6303,43,1
12,1,6303,50,1
13,1,3901,47,1
13,1,7603,96,1
13,1,7603,41,1
13,1,7503,95,1
13,1,7604,96,1
13,1,7604,41,1
14,1,8104,1,1
14,1,1102,81,1
16,1,201,1,1
16,1,201,1,1
16,1,201,1,1
16,1,201,47,1
16,1,201,1,1
16,1,201,16,1
16,1,201,47,1
16,1,201,47,1
16,1,201,47,1
16,1,201,47,1
16,1,201,1,1
16,1,201,1,1
16,1,203,43,1
16,1,203,49,1
16,1,202,86,1
16,1,211,84,1
16,1,211,3,1
16,1,303,1,1
16,1,6803,56,1
16,1,6803,56,1
16,1,6809,50,1
16,1,6809,10,1
16,1,6809,82,1
16,1,6809,82,1
16,1,202,47,1
16,1,202,47,1
16,1,207,1,1
17,1,3405,10,1
17,1,4003,45,1
17,1,7607,41,1
17,1,5310,3,1
17,1,5310,3,1
17,1,5310,47,1
17,1,5310,3,1
17,1,5310,3,1
1,1,5531,47,1
1,1,5546,56,1
1,1,5504,41,1
1,1,5548,1,1
1,1,5548,1,1
1,1,5548,96,1
2,1,906,1,1
2,1,5703,1,1
2,1,5704,47,1
2,1,5705,1,1
2,1,5705,1,1
2,1,5706,1,1
2,1,5706,1,1
2,1,5706,84,1
3,1,807,13,1
3,1,7114,96,1
3,1,7107,49,1
3,1,7107,41,1
3,1,7107,41,1
3,1,7107,82,1
4,1,2109,29,1
4,1,2106,26,1
4,1,3403,26,1
4,1,3405,26,1
4,1,3425,49,1
4,1,1102,85,1
4,1,5805,96,1
4,1,7607,61,1
5,1,1707,3,1
5,1,1707,3,1
5,1,1715,1,1
5,1,1714,85,1
5,1,2004,85,1
5,1,4107,3,1
5,1,4107,1,1
5,1,4115,41,1
5,1,4116,3,1
5,1,4116,3,1
5,1,4116,3,1
5,1,4116,31,1
5,1,4116,31,1
5,1,4111,3,1
5,1,4116,1,1
5,1,6202,47,1
5,1,6206,1,1
5,1,6206,1,1
5,1,6206,1,1
5,1,6206,1,1
5,1,6211,3,1
5,1,6216,84,1
6,1,411,1,1
6,1,3035,1,1
7,1,1209,47,1
7,1,1209,1,1
7,1,2209,10,1
7,1,2209,3,1
7,1,2217,56,1
7,1,2226,26,1
7,1,2217,56,1
7,1,2217,41,1
7,1,2217,30,1
7,1,2217,96,1
7,1,2217,41,1
7,1,2217,43,1
7,1,2217,85,1
7,1,2217,14,1
7,1,2230,85,1
7,1,2226,32,1
7,1,2226,47,1
7,1,2226,26,1
7,1,2230,47,1
7,1,2230,14,1
7,1,2230,32,1
8,1,2610,1,1
8,1,3708,55,1
8,1,3708,55,1
8,1,3715,85,1
8,1,3747,32,1
8,1,3748,45,1
8,1,3717,49,1
8,1,4805,47,1
8,1,4820,47,1
8,1,7801,1,1
10,1,1803,1,1
10,1,3504,49,1
10,1,4204,1,1
10,1,4213,1,1
10,1,4213,1,1
10,1,4213,1,1
10,1,4214,1,1
10,1,4214,1,1
10,1,4214,1,1
11,1,2402,31,1
11,1,2402,86,1
11,1,2404,47,1
12,1,4709,1,1
12,1,4714,1,1
12,1,4714,1,1
12,1,6306,1,1
12,1,6506,49,1
12,1,6506,1,1
13,1,3901,47,1
13,1,3901,47,1
13,1,1914,1,1
13,1,7501,25,1
13,1,7403,82,1
13,1,7502,49,1
13,1,7602,81,1
13,1,3903,56,1
13,1,5802,8,1
13,1,7503,96,1
13,1,7504,14,1
13,1,1404,46,1
13,1,7504,82,1
13,1,7502,41,1
13,1,7504,47,1
13,1,7504,41,1
13,1,7602,43,1
13,1,7607,82,1
13,1,7602,82,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,55,1
14,1,1102,49,1
14,1,1102,47,1
15,1,4711,1,1
15,1,4711,1,1
15,1,4711,1,1
16,1,201,3,1
16,1,201,3,1
16,1,201,47,1
16,1,202,1,1
16,1,203,47,1
16,1,203,84,1
16,1,312,1,1
16,1,312,1,1
16,1,312,47,1
16,1,312,47,1
16,1,6704,85,1
16,1,6711,1,1
16,1,6714,1,1
16,1,6714,1,1
16,1,6714,1,1
16,1,6714,1,1
16,1,6817,47,1
16,1,6819,1,1
16,1,6819,47,1
16,1,6819,3,1
17,1,4005,3,1
17,1,4005,3,1
17,1,4005,3,1
17,1,5208,3,1
17,1,5208,3,1
17,1,5208,1,1
17,1,5208,41,1
17,1,5306,16,1
17,1,7503,50,1
17,1,5316,68,1
17,1,5316,3,1
17,1,5316,46,1
17,1,5316,46,1
17,1,5316,46,1
17,1,5316,10,1
17,1,5319,80,1
1,1,5532,16,1
1,1,5504,41,1
2,1,5702,85,1
3,1,804,64,1
3,1,5409,14,1
3,1,7101,55,1
4,1,3404,41,1
4,1,1005,80,1
4,1,7602,82,1
5,1,1708,47,1
5,1,1708,32,1
5,1,507,1,1
5,1,1723,3,1
5,1,1732,3,1
5,1,1732,3,1
5,1,1732,3,1
5,1,1732,3,1
5,1,1732,3,1
5,1,1732,3,1
5,1,7501,55,1
5,1,2011,85,1
5,1,4108,3,1
5,1,7501,41,1
5,1,4108,47,1
5,1,4109,41,1
5,1,7604,41,1
5,1,7403,41,1
5,1,4114,14,1
5,1,4114,1,1
5,1,4118,1,1
5,1,4118,1,1
5,1,7404,96,1
5,1,6203,43,1
5,1,6206,1,1
5,1,6213,1,1
6,1,3037,84,1
6,1,3037,47,1
6,1,3037,47,1
7,1,1204,16,1
7,1,1204,2,1
7,1,1204,2,1
7,1,1213,1,1
7,1,1213,1,1
7,1,1213,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1217,1,1
7,1,1247,1,1
7,1,1247,96,1
7,1,2204,32,1
7,1,2208,96,1
7,1,2217,49,1
7,1,2226,50,1
7,1,2226,50,1
7,1,2217,82,1
7,1,2226,96,1
7,1,2226,41,1
7,1,2226,41,1
7,1,2226,47,1
7,1,2220,56,1
7,1,2217,11,1
7,1,3905,47,1
8,1,2607,1,1
9,1,8306,84,1
10,1,1312,10,1
10,1,1312,1,1
11,1,2410,47,1
12,1,4709,1,1
12,1,4709,1,1
12,1,4717,1,1
12,1,4717,1,1
12,1,4717,1,1
12,1,6303,10,1
12,1,6303,3,1
12,1,6303,3,1
12,1,6303,47,1
13,1,3901,47,1
13,1,3906,47,1
13,1,3906,53,1
13,1,3911,47,1
13,1,7602,55,1
13,1,7602,61,1
13,1,7503,10,1
13,1,7605,90,1
13,1,7502,14,1
13,1,7502,14,1
13,1,7504,68,1
13,1,7504,10,1
13,1,7604,33,1
13,1,7604,59,1
13,1,7604,96,1
13,1,7604,49,1
13,1,7604,47,1
14,1,1110,84,1
14,1,1102,87,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,47,1
15,1,4712,1,1
15,1,4712,1,1
15,1,4712,1,1
16,1,203,84,1
16,1,203,68,1
16,1,208,16,1
16,1,307,85,1
16,1,7404,84,1
16,1,312,1,1
16,1,314,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,1,1
16,1,6715,3,1
16,1,6724,43,1
16,1,6809,3,1
16,1,6809,3,1
17,1,4003,3,1
17,1,4003,3,1
17,1,5805,64,1
17,1,4004,1,1
17,1,4004,92,1
17,1,5309,84,1
17,1,5310,1,1
17,1,5310,56,1
17,1,5310,56,1
17,1,5310,3,1
17,1,5310,3,1
17,1,7503,3,1
17,1,5310,3,1
17,1,5310,3,1
17,1,5316,96,1
17,1,5316,47,1
17,1,5316,46,1
17,1,5316,35,1
1,1,2934,86,1
1,1,5003,64,1
1,1,2930,47,1
2,1,5702,45,1
2,1,5702,42,1
2,1,5702,56,1
3,1,6913,96,1
4,1,2106,69,1
4,1,2109,85,1
4,1,2109,85,1
4,1,2118,47,1
4,1,2120,3,1
4,1,3404,41,1
4,1,5624,45,1
4,1,5624,86,1
4,1,5814,52,1
5,1,1705,47,1
5,1,1705,1,1
5,1,1723,1,1
5,1,1723,95,1
5,1,1723,1,1
5,1,4120,3,1
5,1,6208,47,1
5,1,6208,1,1
5,1,7405,41,1
5,1,6209,1,1
6,1,412,36,1
6,1,415,3,1
6,1,3014,3,1
7,1,2217,41,1
7,1,1209,1,1
7,1,2210,1,1
7,1,2210,1,1
7,1,2217,41,1
7,1,2217,47,1
7,1,2217,47,1
7,1,2217,55,1
7,1,2230,56,1
7,1,2217,68,1
7,1,6412,46,1
7,1,2226,26,1
7,1,2226,84,1
7,1,2230,47,1
7,1,2230,68,1
7,1,2233,47,1
7,1,2252,1,1
7,1,4610,56,1
8,1,2217,84,1
9,1,7308,41,1
9,1,7322,1,1
9,1,8305,84,1
10,1,3502,85,1
11,1,2402,49,1
11,1,2408,3,1
11,1,2408,3,1
12,1,4701,1,1
12,1,6306,96,1
12,1,6306,47,1
12,1,8002,1,1
12,1,8005,1,1
13,1,3912,53,1
13,1,7501,56,1
13,1,7607,42,1
13,1,7401,55,1
13,1,3902,47,1
13,1,7404,56,1
13,1,7504,56,1
13,1,7504,10,1
13,1,7504,41,1
13,1,7504,43,1
13,1,7504,18,1
13,1,7504,18,1
13,1,7603,14,1
13,1,7604,43,1
13,1,7604,90,1
13,1,7604,95,1
13,1,7603,47,1
14,1,1105,47,1
14,1,1105,55,1
15,1,4712,49,1
16,1,201,1,1
16,1,201,3,1
16,1,201,3,1
16,1,202,85,1
16,1,202,49,1
16,1,210,1,1
16,1,210,1,1
16,1,306,1,1
16,1,313,1,1
16,1,6717,85,1
16,1,8502,7,1
16,1,6724,47,1
16,1,6803,1,1
16,1,6803,1,1
16,1,6803,1,1
16,1,6809,3,1
16,1,6809,3,1
16,1,6809,3,1
16,1,6809,96,1
16,1,6801,7,1
17,1,4001,1,1
17,1,1028,85,1
17,1,4005,14,1
17,1,4005,47,1
17,1,4006,3,1
17,1,7607,41,1
17,1,5205,84,1
17,1,5315,16,1
17,1,5316,85,1
17,1,5911,1,1
1,1,5526,1,1
2,1,1523,1,1
3,1,6905,96,1
3,1,7107,49,1
4,1,7604,45,1
4,1,2106,47,1
4,1,2106,68,1
4,1,3403,18,1
4,1,5608,1,1
4,1,5802,47,1
4,1,5804,68,1
4,1,5804,41,1
5,1,2003,96,1
5,1,6216,1,1
6,1,409,1,1
6,1,417,43,1
7,1,1209,1,1
7,1,1209,80,1
7,1,1209,1,1
7,1,1209,1,1
7,1,1209,1,1
7,1,1243,47,1
7,1,4622,85,1
7,1,6103,84,1
7,1,2217,47,1
7,1,2230,85,1
8,1,2620,1,1
8,1,3731,49,1
8,1,3731,85,1
8,1,7808,1,1
8,1,7808,1,1
8,1,3747,55,1
10,1,1801,1,1
10,1,1804,3,1
10,1,1805,49,1
10,1,1805,3,1
10,1,1805,47,1
10,1,7502,10,1
11,1,2319,84,1
11,1,2509,3,1
11,1,8603,1,1
12,1,4709,1,1
12,1,4709,47,1
12,1,6501,1,1
12,1,6504,56,1
12,1,6511,47,1
12,1,6303,47,1
12,1,8004,3,1
12,1,8004,3,1
12,1,6303,49,1
13,1,7501,46,1
13,1,7501,96,1
13,1,7501,47,1
13,1,7401,82,1
13,1,7404,82,1
13,1,7213,1,1
13,1,5543,96,1
13,1,7502,49,1
13,1,7404,80,1
13,1,3908,92,1
13,1,7603,47,1
13,1,7603,68,1
13,1,7503,81,1
13,1,7504,22,1
14,1,1110,55,1
16,1,203,1,1
16,1,302,1,1
16,1,302,1,1
16,1,302,1,1
16,1,302,1,1
16,1,303,1,1
16,1,303,1,1
16,1,303,1,1
16,1,303,1,1
16,1,303,1,1
16,1,303,3,1
16,1,303,1,1
16,1,303,1,1
16,1,304,1,1
16,1,8504,64,1
16,1,6706,84,1
17,1,4001,10,1
17,1,5913,1,1
17,1,5316,49,1
17,1,5316,41,1
19,1,4709,1,1
19,1,4712,1,1